"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"M9,M2,M20,M12,M3,M19,M16,M10,M7,M8,M6,M11,M4,M13,M14,M1";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHolesKEEPOUT";16;"AUDIO-JACKERTHENVAR-PJ398";;;
2;"RV7,RV6,RV5,RV2,RV8,RV3,RV1,RV4";"Potentiometer_Alps-RK09";8;"R_POT";;;
3;"R47,R49,R8,R50,R38,R6,R67,R37,R36,R64,R9,R68,R48,R45,R43,R15";"R_0805_2012Metric";16;"1K";;;
4;"C6,C5,C7,C11,C4,C9,C10,C8";"C_0805_2012Metric";8;"100N";;;
5;"R12,R24,R55,R2,R21,R19,R11,R13,R26,R23,R61,R25,R17,R56,R54,R10";"R_0805_2012Metric";16;"10K";;;
6;"R20,R16,R22,R18";"R_0805_2012Metric";4;"100R";;;
7;"C1,C2";"CP_EIA-3216-18_Kemet-A";2;"10u";;;
8;"D5,D6,D4,D3";"D_SOD-123";4;"1N4148-Diode";;;
9;"R31,R3,R27,R30,R32,R4,R28,R29";"R_0805_2012Metric";8;"330K";;;
10;"D1,D2";"D_SOD-123";2;"1N5819";;;
11;"U8,U4";"SOIC-14_3.9x8.7mm_P1.27mm";2;"TL074";;;
12;"R46,R42,R44,R7";"R_0805_2012Metric";4;"100K";;;
13;"R60,R58,R57,R51,R62,R59,R53";"R_0805_2012Metric";7;"20K";;;
14;"R5,R34,R35,R33";"R_0805_2012Metric";4;"33K";;;
15;"C13,C12,C14,C3";"C_0805_2012Metric";4;"100P";;;
16;"R41,R40,R1,R39";"R_0805_2012Metric";4;"6K8";;;
17;"Q3,Q4,Q2,Q1";"SOT-23";4;"Q_PNP_BEC";;;
18;"U6,U5";"SOIC-16_3.9x9.9mm_P1.27mm";2;"LM13700";;;
19;"P1";"PinHeader_2x05_P2.54mm_Vertical";1;"CONN_02X05";;;
20;"R52";"R_0805_2012Metric";1;"20k";;;
