Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,SMD-1206_Pol,115.17,-118.74,180.0,bottom
C2,10uF,SMD-1206_Pol,115.05,-122.05,0.0,bottom
C3,10uF,SMD-1206_Pol,109.35,-113.9,180.0,bottom
C4,100nF,C_0805,112.9,-110.85,180.0,bottom
C5,10uF,SMD-1206_Pol,115.45,-126.5,180.0,bottom
C6,100nF,C_0805,127.4,-116.2,0.0,bottom
C7,10uF,SMD-1206_Pol,115.55,-114.05,0.0,bottom
C8,100nF,C_0805,127.4,-112.9,180.0,bottom
C9,1NF,C_0805,98.53,-62.12,0.0,bottom
C10,1NF,C_0805,90.9,-64.1,0.0,bottom
C11,1NF,C_0805,89.5,-51.3,0.0,bottom
C12,1NF,C_0805,94.7,-62.1,180.0,bottom
C13,1NF,C_0805,102.9,-62.1,180.0,bottom
C14,1NF,C_0805,97.6,-74.9,0.0,bottom
C15,1NF,C_0805,94.5,-49.9,180.0,bottom
C16,1NF,C_0805,101.5,-77.3,180.0,bottom
C17,1N,C_0805,123.1,-71.3,180.0,bottom
C18,1N,C_0805,115.01,-81.89,0.0,bottom
C19,1N,C_0805,115.4,-71.3,0.0,bottom
C20,1N,C_0805,122.9,-82.1,180.0,bottom
C21,100nF,C_0805_2012Metric,87.08,-130.85,180.0,bottom
C22,100nF,C_0805_2012Metric,86.88,-142.47,180.0,bottom
C25,100P,C_0805,135.5,-79.2,180.0,bottom
C26,100P,C_0805,127.2,-94.6,0.0,bottom
C27,100P,C_0805,127.9,-79.0,0.0,bottom
C28,100P,C_0805,109.75,-77.19,180.0,bottom
C29,18pF,C_0805,75.1,-80.1,180.0,bottom
C30,18pF,C_0805,76.2,-97.3,180.0,bottom
C31,100nF,C_0805,88.0,-80.2,180.0,bottom
C32,4.7uF,SMD-1206_Pol,98.47,-94.22,270.0,bottom
C33,100nF,C_0805,91.63,-80.98,180.0,bottom
C34,100nF,C_0805,83.28,-80.31,180.0,bottom
C35,100nF,C_0805,94.45,-82.39,90.0,bottom
C36,100nF,C_0805,95.22,-94.83,180.0,bottom
C37,100nF,C_0805,82.825,-97.6,180.0,bottom
C38,100nF,C_0805,79.6,-81.0,0.0,bottom
C49,100nF,C_0805,93.5,-52.0,180.0,bottom
C50,100nF,C_0805,102.9,-64.4,180.0,bottom
C51,100nF,C_0805,90.9,-62.0,0.0,bottom
C52,100nF,C_0805,101.5,-75.3,180.0,bottom
C53,100nF,C_0805,131.0,-93.1,180.0,bottom
C54,100nF,C_0805,118.74,-81.89,180.0,bottom
C55,100nF,C_0805,116.3,-62.3,180.0,bottom
C56,100nF,C_0805,109.69,-93.13,180.0,bottom
C57,100nF,C_0805,131.7,-81.8,180.0,bottom
C58,100nF,C_0805,119.2,-71.3,180.0,bottom
C59,100nF,C_0805,116.7,-51.7,180.0,bottom
C60,100nF,C_0805,109.1,-82.4,180.0,bottom
C63,100nF,C_0805,89.2,-128.3,0.0,bottom
C64,100nF,C_0805,90.45,-117.1,180.0,bottom
C65,100nF,C_0805,61.1,-114.4,180.0,bottom
C66,100nF,C_0805,134.9,-114.8,180.0,bottom
D1,D,D_SOD-123,115.3,-130.7,0.0,bottom
D2,D,D_SOD-123,121.55,-116.1,180.0,bottom
D3,BAT54S,SOT-23,97.3225,-99.27,0.0,bottom
D4,BAT54S,SOT-23,93.8225,-71.39,180.0,bottom
D5,BAT54S,SOT-23,84.92,-77.62,0.0,bottom
D6,BAT54S,SOT-23,90.59,-108.66,180.0,bottom
D7,BAT54S,SOT-23,102.79,-99.36,0.0,bottom
D8,BAT54S,SOT-23,91.86,-78.28,180.0,bottom
D9,BAT54S,SOT-23,129.89,-105.8,0.0,bottom
D10,BAT54S,SOT-23,97.29,-82.59,180.0,bottom
D11,BAT54S,SOT-23,123.19,-94.18,0.0,bottom
L1,INDUCTOR,R_0603,123.04,-112.82,180.0,bottom
Q1,Q_PNP_BEC,SOT-23,125.38,-74.82,0.0,bottom
Q2,Q_PNP_BEC,SOT-23,111.1,-72.6,180.0,bottom
Q3,Q_PNP_BEC,SOT-23,111.2,-68.3,0.0,bottom
Q4,Q_PNP_BEC,SOT-23,118.74,-85.39,180.0,bottom
R1,1K,R_0805,94.34,-68.68,180.0,bottom
R2,1K,R_0805,97.4,-64.7,180.0,bottom
R3,1K,R_0805,94.14,-66.78,180.0,bottom
R4,1K,R_0805,98.1,-49.8,180.0,bottom
R5,1K,R_0805,97.2,-52.0,0.0,bottom
R6,1K,R_0805,99.4,-54.3,0.0,bottom
R7,220k,R_0805,123.2,-66.8,180.0,bottom
R8,220k,R_0805,114.7,-83.8,0.0,bottom
R9,220k,R_0805,116.2,-66.5,0.0,bottom
R10,220K,R_0805,123.0,-84.5,180.0,bottom
R11,33k,R_0805,123.2,-69.0,0.0,bottom
R12,33k,R_0805,114.5,-86.2,180.0,bottom
R13,33k,R_0805,115.4,-69.0,180.0,bottom
R14,33K,R_0805,122.9,-86.7,180.0,bottom
R15,1K,R_0805,123.19,-62.55,180.0,bottom
R16,1K,R_0805,114.5,-88.4,0.0,bottom
R17,1K,R_0805,116.2,-64.5,0.0,bottom
R18,1K,R_0805,122.94,-89.27,0.0,bottom
R19,100k,R_0805,112.3,-51.7,180.0,bottom
R20,100k,R_0805,112.4,-62.2,180.0,bottom
R21,100k,R_0805,105.8,-94.0,0.0,bottom
R22,100K,R_0805,104.9,-82.4,180.0,bottom
R23,22K,R_0805,135.3,-81.8,0.0,bottom
R24,22K,R_0805,127.3,-92.5,180.0,bottom
R25,22K,R_0805,127.7,-81.8,180.0,bottom
R26,22K,R_0805,109.05,-79.71,0.0,bottom
R27,10K,R_0805,96.8,-125.35,180.0,bottom
R28,10K,R_0805,92.85,-128.3,0.0,bottom
R29,3.3M,R_0805,61.3,-103.9,0.0,bottom
R30,3.3M,R_0805,65.2,-103.8,0.0,bottom
R31,3.3M,R_0805,65.2,-101.9,0.0,bottom
R32,3.3M,R_0805,64.8,-114.5,180.0,bottom
R33,3.3M,R_0805,64.8,-116.5,180.0,bottom
R34,3.3M,R_0805,61.3,-116.5,0.0,bottom
R35,1K,R_0805,65.3,-94.8,0.0,bottom
R36,1K,R_0805,65.3,-97.7,0.0,bottom
R37,1K,R_0805,71.3,-99.7,0.0,bottom
R38,1K,R_0805,70.8,-111.0,0.0,bottom
R39,1K,R_0805,70.9,-108.6,0.0,bottom
R40,1K,R_0805,69.0,-103.8,0.0,bottom
R41,3.3M,R_0805,133.7,-103.2,0.0,bottom
R42,3.3M,R_0805,137.0,-103.2,180.0,bottom
R43,3.3M,R_0805,140.6,-103.2,0.0,bottom
R44,3.3M,R_0805,139.0,-114.8,180.0,bottom
R45,3.3M,R_0805,139.0,-117.0,180.0,bottom
R46,100R,R_0805,126.49,-57.82,180.0,bottom
R47,1K,R_0805,133.28,-101.01,180.0,bottom
R48,1K,R_0805,137.1,-100.94,180.0,bottom
R49,1K,R_0805,131.12,-95.77,180.0,bottom
R50,1K,R_0805,128.47,-98.96,180.0,bottom
R51,1K,R_0805,128.97,-108.61,180.0,bottom
R52,20KNOW,R_0805,123.18,-57.82,180.0,bottom
R53,620R,R_0805,101.37,-82.07,0.0,bottom
R54,620R,R_0805,104.7,-79.8,180.0,bottom
R55,620R,R_0805,106.6,-55.7,0.0,bottom
R56,620R,R_0805,114.6,-49.3,0.0,bottom
R57,620R,R_0805,106.6,-58.0,0.0,bottom
R58,620R,R_0805,102.4,-94.0,0.0,bottom
R59,620R,R_0805,112.35,-64.96,180.0,bottom
R60,620R,R_0805,103.7,-96.6,180.0,bottom
R61,1K,R_0805,86.0,-58.1,180.0,bottom
R62,1K,R_0805,86.0,-60.2,0.0,bottom
R63,1K,R_0805,86.0,-62.3,180.0,bottom
R64,1K,R_0805,105.0,-77.3,180.0,bottom
R65,1K,R_0805,105.0,-75.3,0.0,bottom
R66,1K,R_0805,107.5,-70.4,0.0,bottom
R67,220K,R_0805,123.18,-64.77,180.0,bottom
R68,220K,R_0805,123.22,-60.1,180.0,bottom
R69,220K,R_0805,119.79,-67.1,180.0,bottom
R70,220K,R_0805,119.88,-63.77,180.0,bottom
R71,10k,R_0805,92.16,-100.13,0.0,bottom
R72,10K,R_0805_2012Metric,78.8375,-131.01,180.0,bottom
R73,10K,R_0805_2012Metric,83.24,-128.44,90.0,bottom
R74,10K,R_0805_2012Metric,78.9125,-133.54,180.0,bottom
R75,10K,R_0805_2012Metric,93.3725,-136.03,180.0,bottom
R76,10K,R_0805_2012Metric,93.1275,-139.9,180.0,bottom
R77,10K,R_0805_2012Metric,82.87,-145.29,180.0,bottom
R78,10K,R_0805_2012Metric,90.8725,-142.51,180.0,bottom
R79,10K,R_0805_2012Metric,82.7825,-142.77,180.0,bottom
R85,10K,R_0805,82.95,-124.25,0.0,bottom
